ENSHBU,Haplochromis_burtoni_(Burton's_mouthbrooder)
ENSCCA,Cebus_capucinus_imitator_(Capuchin)
ENSPNY,Pundamilia_nyererei_(Makobe_Island_cichlid)
ENSMLE,Mandrillus_leucophaeus_(Drill)
ENSFCA,Felis_catus_(Cat)
ENSGMO,Gadus_morhua_(Cod)
ENSCJA,Callithrix_jacchus_(Marmoset)
ENSFHE,Fundulus_heteroclitus_(Mummichog)
ENSLCO,Lepidothrix_coronata_(Blue-crowned_manakin)
ENSMAU,Mesocricetus_auratus_(Golden_Hamster)
ENSRNO,Rattus_norvegicus_(Rat)
ENSGAC,Gasterosteus_aculeatus_(Stickleback)
ENSPVA,Pteropus_vampyrus_(Megabat)
ENSEEU,Erinaceus_europaeus_(Hedgehog)
ENSTBE,Tupaia_belangeri_(Tree_Shrew)
ENSCPR,Crocodylus_porosus_(Australian_saltwater_crocodile)
ENSXCO,Xiphophorus_couchianus_(Monterrey_platyfish)
ENSDNO,Dasypus_novemcinctus_(Armadillo)
ENSMOC,Microtus_ochrogaster_(Prairie_vole)
ENSSBO,Saimiri_boliviensis_boliviensis_(Bolivian_squirrel_monkey)
ENSCJP,Coturnix_japonica_(Japanese_quail)
ENSJHY,Junco_hyemalis_(Dark-eyed_junco)
ENSPTI,Panthera_tigris_altaica_(Tiger)
ENSMEU,Notamacropus_eugenii_(Wallaby)
MGP_BALBcJ_,Mus_musculus_(Mouse_BALB/cJ)
MGP_NODShiLtJ_,Mus_musculus_(Mouse_NOD/ShiLtJ)
ENSANA,Aotus_nancymaae_(Ma's_night_monkey)
ENSORL,Oryzias_latipes_(Japanese_medaka_HNI)
ENSCAT,Cercocebus_atys_(Sooty_mangabey)
ENSJJA,Jaculus_jaculus_(Lesser_Egyptian_jerboa)
ENSOME,Oryzias_melastigma_(Indian_medaka)
ENSPME,Poecilia_mexicana_(Shortfin_molly)
ENSACA,Anolis_carolinensis_(Anole_lizard)
ENSSHA,Sarcophilus_harrisii_(Tasmanian_devil)
MGP_CBAJ_,Mus_musculus_(Mouse_CBA/J)
ENSTTR,Tursiops_truncatus_(Dolphin)
ENSBMU,Bos_mutus_(Wild_yak)
ENSSSC,Sus_scrofa_(Pig_USMARC)
MGP_NZOHlLtJ_,Mus_musculus_(Mouse_NZO/HlLtJ)
ENSPTE,Piliocolobus_tephrosceles_(Ugandan_red_Colobus)
ENSMVI,Manacus_vitellinus_(Golden-collared_manakin)
ENSKMA,Kryptolebias_marmoratus_(Mangrove_rivulus)
ENSEBU,Eptatretus_burgeri_(Hagfish)
ENSVPA,Vicugna_pacos_(Alpaca)
ENSPCO,Propithecus_coquereli_(Coquerel's_sifaka)
ENSCPU,Calidris_pugnax_(Ruff)
ENSHGLF,Heterocephalus_glaber_(Naked_mole-rat_female)
ENSTGU,Taeniopygia_guttata_(Zebra_Finch)
ENSPPA,Pan_paniscus_(Bonobo)
ENSEEE,Electrophorus_electricus_(Electric_eel)
ENSCGR,Cricetulus_griseus_(Chinese_hamster_PICR)
ENSCEL,Caenorhabditis_elegans_(Caenorhabditis_elegans)
ENSCPG,Calidris_pygmaea_(Spoon-billed_sandpiper)
ENSHGLM,Heterocephalus_glaber_(Naked_mole-rat_male)
ENSSLD,Seriola_lalandi_dorsalis_(Yellowtail_amberjack)
ENSMMO,Mola_mola_(Ocean_sunfish)
ENSBBB,Bison_bison_bison_(American_bison)
ENSETE,Echinops_telfairi_(Lesser_hedgehog_tenrec)
ENSPPR,Panthera_pardus_(Leopard)
MGP_FVBNJ_,Mus_musculus_(Mouse_FVB/NJ)
ENSCGR,Cricetulus_griseus_(Chinese_hamster_CriGri)
ENSMNE,Macaca_nemestrina_(Pig-tailed_macaque)
ENSCIN,Ciona_intestinalis
ENSCHI,Capra_hircus_(Goat)
ENSXMA,Xiphophorus_maculatus_(Platyfish)
MGP_PWKPhJ_,Mus_musculus_musculus_(Mouse_PWK/PhJ)
MGP_CAROLIEiJ_,Mus_caroli_(Ryukyu_mouse)
ENSMPU,Mustela_putorius_furo_(Ferret)
MGP_PahariEiJ_,Mus_pahari_(Shrew_mouse)
ENSAPE,Amphiprion_percula_(Orange_clownfish)
ENSSAR,Sorex_araneus_(Shrew)
MGP_CASTEiJ_,Mus_musculus_castaneus_(Mouse_CAST/EiJ)
ENSRRO,Rhinopithecus_roxellana_(Golden_snub-nosed_monkey)
ENSABR,Anser_brachyrhynchus_(Pink-footed_goose)
ENSSFO,Scleropages_formosus_(Asian_bonytongue)
ENSCAN,Colobus_angolensis_palliatus_(Angola_colobus)
ENSPPY,Pongo_abelii_(Orangutan)
ENSARW,Apteryx_rowi_(Okarito_brown_kiwi)
ENSTGE,Theropithecus_gelada_(Gelada)
ENSMGA,Meleagris_gallopavo_(Turkey)
ENSSMR,Salvator_merianae_(Argentine_black_and_white_tegu)
ENSCGR,Cricetulus_griseus_(Chinese_hamster_CHOK1GS)
ENSVUR,Vombatus_ursinus_(Common_wombat)
ENSMOD,Monodelphis_domestica_(Opossum)
ENSATE,Anabas_testudineus_(Climbing_perch)
ENSPRE,Poecilia_reticulata_(Guppy)
ENSOPR,Ochotona_princeps_(Pika)
ENSZAL,Zonotrichia_albicollis_(White-throated_sparrow)
ENSLAF,Loxodonta_africana_(Elephant)
ENSGAF,Gambusia_affinis_(Western_mosquitofish)
ENSCPI,Chrysemys_picta_bellii_(Painted_turtle)
ENSPCA,Procavia_capensis_(Hyrax)
ENSCMI,Callorhinchus_milii_(Elephant_shark)
ENSAPO,Acanthochromis_polyacanthus_(Spiny_chromis)
ENSPSI,Pelodiscus_sinensis_(Chinese_softshell_turtle)
ENSIPU,Ictalurus_punctatus_(Channel_catfish)
ENSNVI,Neovison_vison_(American_mink)
ENSGAG,Gopherus_agassizii_(Agassiz's_desert_tortoise)
ENSCSAV,Ciona_savignyi
ENSMAM,Mastacembelus_armatus_(Zig-zag_eel)
ENSOCU,Oryctolagus_cuniculus_(Rabbit)
ENSMUG,Meriones_unguiculatus_(Mongolian_gerbil)
ENSCLA,Chinchilla_lanigera_(Long-tailed_chinchilla)
ENSMZE,Maylandia_zebra_(Zebra_mbuna)
ENSCSE,Cynoglossus_semilaevis_(Tongue_sole)
ENSPNA,Pygocentrus_nattereri_(Red-bellied_piranha)
MGP_DBA2J_,Mus_musculus_(Mouse_DBA/2J)
ENSLAC,Latimeria_chalumnae_(Coelacanth)
ENSFAL,Ficedula_albicollis_(Flycatcher)
ENSSPU,Sphenodon_punctatus_(Tuatara)
ENSECA,Equus_caballus_(Horse)
ENSMSI,Mus_spicilegus_(Steppe_mouse)
ENSXET,Xenopus_tropicalis_(Xenopus)
ENSSTO,Ictidomys_tridecemlineatus_(Squirrel)
ENSCAF,Canis_lupus_familiaris_(Dog)
ENSPFO,Poecilia_formosa_(Amazon_molly)
ENSNPE,Nothoprocta_perdicaria_(Chilean_tinamou)
ENSMMM,Marmota_marmota_marmota_(Alpine_marmot)
ENSBIX,Bos_indicus_x_Bos_taurus_(Hybrid_-_Bos_Taurus)
ENSLSD,Lonchura_striata_domestica_(Bengalese_finch)
MGP_LPJ_,Mus_musculus_(Mouse_LP/J)
ENSCPO,Cavia_porcellus_(Guinea_Pig)
ENSLOC,Lepisosteus_oculatus_(Spotted_gar)
ENSSDU,Seriola_dumerili_(Greater_amberjack)
ENSHHU,Hucho_hucho_(Huchen)
ENSCAP,Cavia_aperea_(Brazilian_guinea_pig)
ENSNME,Numida_meleagris_(Helmeted_guineafowl)
ENSCCN,Castor_canadensis_(American_beaver)
ENSSMA,Scophthalmus_maximus_(Turbot)
MGP_AJ_,Mus_musculus_(Mouse_A/J)
ENSOAN,Ornithorhynchus_anatinus_(Platypus)
ENSMMU,Macaca_mulatta_(Macaque)
MGP_WSBEiJ_,Mus_musculus_domesticus_(Mouse_WSB/EiJ)
ENSVVU,Vulpes_vulpes_(Red_fox)
ENSMIC,Microcebus_murinus_(Mouse_Lemur)
ENSCHO,Choloepus_hoffmanni_(Sloth)
ENSRBI,Rhinopithecus_bieti_(Black_snub-nosed_monkey)
ENSAHA,Apteryx_haastii_(Great_spotted_kiwi)
ENSNGA,Nannospalax_galili_(Upper_Galilee_mountains_blind_mole_rat)
ENSFDA,Fukomys_damarensis_(Damara_mole_rat)
ENSACI,Amphilophus_citrinellus_(Midas_cichlid)
ENSUMA,Ursus_maritimus_(Polar_bear)
MGP_AKRJ_,Mus_musculus_(Mouse_AKR/J)
ENSPLA,Poecilia_latipinna_(Sailfin_molly)
ENSUAM,Ursus_americanus_(American_black_bear)
ENSAME,Ailuropoda_melanoleuca_(Panda)
MGP_C57BL6NJ_,Mus_musculus_(Mouse_C57BL/6NJ)
ENSSDA,Spermophilus_dauricus_(Daurian_ground_squirrel)
ENSOGA,Otolemur_garnettii_(Bushbaby)
MGP_129S1SvImJ_,Mus_musculus_(Mouse_129S1/SvImJ)
ENSPTR,Pan_troglodytes_(Chimpanzee)
ENSEAS,Equus_asinus_asinus_(Donkey)
ENSSCA,Serinus_canaria_(Common_canary)
ENSPMJ,Parus_major_(Great_Tit)
ENSPMA,Petromyzon_marinus_(Lamprey)
ENSORL,Oryzias_latipes_(Japanese_medaka_HSOK)
ENS,Homo_sapiens_(Human)
ENSHCO,Hippocampus_comes_(Tiger_tail_seahorse)
ENSCVA,Cyprinodon_variegatus_(Sheepshead_minnow)
ENSGGO,Gorilla_gorilla_gorilla_(Gorilla)
ENSOAR,Ovis_aries_(Sheep)
ENSPMG,Periophthalmus_magnuspinnatus_(Periophthalmus_magnuspinnatus)
ENSMUN,Melopsittacus_undulatus_(Budgerigar)
ENSMLU,Myotis_lucifugus_(Microbat)
MGP_SPRETEiJ_,Mus_spretus_(Algerian_mouse)
ENSDOR,Dipodomys_ordii_(Kangaroo_rat)
ENSMFA,Macaca_fascicularis_(Crab-eating_macaque)
ENSAPL,Anas_platyrhynchos_platyrhynchos_(Duck)
ENSLCA,Lates_calcarifer_(Barramundi_perch)
ENSONI,Oreochromis_niloticus_(Tilapia)
ENSMUS,Mus_musculus_(Mouse)
ENSAOW,Apteryx_owenii_(Little_spotted_kiwi)
ENSDNV,Dromaius_novaehollandiae_(Emu)
ENSCAF,Canis_lupus_dingo_(Dingo)
ENSPEM,Peromyscus_maniculatus_bairdii_(Northern_American_deer_mouse)
ENSBTA,Bos_taurus_(Cow)
ENSSSC,Sus_scrofa_(Pig)
ENSTNI,Tetraodon_nigroviridis_(Tetraodon)
ENSTSY,Carlito_syrichta_(Tarsier)
ENSORL,Oryzias_latipes_(Japanese_medaka_HdrR)
ENSLBE,Labrus_bergylta_(Ballan_wrasse)
ENSSPA,Stegastes_partitus_(Bicolor_damselfish)
ENSAMX,Astyanax_mexicanus_(Mexican_tetra)
ENSNSU,Notechis_scutatus_(Mainland_tiger_snake)
ENSPVI,Pogona_vitticeps_(Central_bearded_dragon)
ENSNBR,Neolamprologus_brichardi_(Lyretail_cichlid)
ENSACL,Astatotilapia_calliptera_(Eastern_happy)
ENSODE,Octodon_degus_(Degu)
ENSTRU,Takifugu_rubripes_(Fugu)
ENSPCI,Phascolarctos_cinereus_(Koala)
ENSCSA,Chlorocebus_sabaeus_(Vervet-AGM)
ENSMAL,Monopterus_albus_(Swamp_eel)
ENSPAN,Papio_anubis_(Olive_baboon)
ENSPSM,Prolemur_simus_(Greater_bamboo_lemur)
ENSGAL,Gallus_gallus_(Chicken)
ENSCAB,Chelonoidis_abingdonii_(Abingdon_island_giant_tortoise)
ENSDAR,Danio_rerio_(Zebrafish)
ENSNLE,Nomascus_leucogenys_(Gibbon)
ENSPKI,Paramormyrops_kingsleyae_(Paramormyrops_kingsleyae)
ENSCCE,Cyanistes_caeruleus_(Blue_tit)
ENSBIX,Bos_indicus_x_Bos_taurus_(Hybrid_-_Bos_Indicus)
ENSAOC,Amphiprion_ocellaris_(Clown_anemonefish)
ENSELU,Esox_lucius_(Northern_pike)
MGP_C3HHeJ_,Mus_musculus_(Mouse_C3H/HeJ)
ENSUPA,Urocitellus_parryii_(Arctic_ground_squirrel)
ENSCPB,Chrysemys_picta_bellii(Painted_Sea_turtle)
FBp,Drosophila_melanogaster(fruit_fly)
ENSHGL,Heterocephalus_glaber(Naked_mole-rat_female
ENSMUS,Mus_Musculus_(Mouse)
